Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
SWK,91.29000091552734,91.3635025024414,270,273,3,27.89752991915671,0.02821328571864726,-7.47216796875,-0.2555782589630884
TAK,13.375,13.38000011444092,75,83,8,24.01360957477269,0.005487973008836633,10.08001708984375,0.3363234372873968
TAK,13.40499973297119,13.40989971160889,355,359,4,26.29203184445086,0.001245037487574943,-2.207720756530762,-0.0738267495769772
TAL,13.10999965667725,13.11999988555908,75,74,-1,20.48884752864303,0.02724730491638211,2.280052185058594,0.0762212573861604
TBBB,23.81999969482422,23.85499954223633,10,11,1,28.59045318136901,0.07809926373618055,-10.62488555908203,-0.3563155988419183
TDCX,7.099999904632568,7.105000019073486,105,105,0,25.23896498921167,0.002383831398827481,6.329943656921387,0.2111170506027913
TECK,51.92079925537109,51.93999862670898,70,69,-1,26.98359331133719,0.02485065868922554,15.39002609252884,0.5198314688149225
TGI,14.72999954223633,14.73499965667725,45,45,0,27.36078290005248,0.02367141383034765,0.0,0.0
TGI,14.47999954223633,14.48499965667725,205,204,-1,24.09141878471947,0.007978426388331683,-9.31501579284668,-0.3106667404938552
TGNA,15.21000003814697,15.22999954223633,110,117,7,17.88442543382634,0.005139167990003579,2.94006729126022,0.09849207993181135
THG,134.4100036621094,134.8500061035156,35,38,3,29.42463596926343,0.06672040666852519,-9.460174560546875,-0.3188786912180213
TJX,98.41000366210938,98.44999694824219,195,195,0,29.14191610281297,0.005650899069651216,1.200027465820312,0.04063069250106052
TKC,6.28000020980835,6.284999847412109,330,333,3,25.23068306854184,0.002057898044586195,-7.15493631362915,-0.238661365946922
TKR,92.93000030517578,92.98999786376953,325,325,0,28.78562501685988,0.02881867000034832,3.52001953125,0.1182929485735805
TPB,34.16999816894531,34.18500137329102,90,107,17,27.82280730330884,0.04271085466657354,-8.978645324707031,-0.3018950290429178
TRTX,8.71500015258789,8.744999885559082,325,324,-1,29.38421603907143,0.001800232614789517,-8.574869155883789,-0.2858732859626009
TRTX,8.725000381469727,8.729999542236328,355,356,1,23.34780968986402,0.003203623294829955,-10.28990840911865,-0.3436395709535914
TSLX,21.60740089416504,21.6200008392334,105,118,13,24.5915617336187,0.01127870695931579,-8.266239166259766,-0.277059581351989
TSLX,21.5,21.50930023193359,335,340,5,25.63823201999232,0.008154213769094754,-9.632658004760742,-0.3221848090301486
TTE,73.0199966430664,73.08999633789062,75,74,-1,23.04832032863929,0.06456643513270766,21.7302627563472,0.7251422017333518
U,22.02499961853027,22.08499908447266,60,60,0,22.10685428557916,0.01228523731231745,0.6751441955566406,0.02264463809170128
UGI,24.77499961853027,24.78499984741211,290,298,8,28.58954091002931,0.003965213639396323,-7.86506462097168,-0.2622575527851138
UGI,24.71500015258789,24.72500038146973,340,340,0,29.84438190914403,0.00384736333574582,17.5450553894043,0.5864528029384508
UGP,4.775000095367432,4.784999847412109,50,50,0,29.20237153303229,0.0001122176647184586,-8.075322151184082,-0.2695898861490211
UI,136.2801971435547,137.3800048828125,100,112,12,27.82493639240687,0.4525330134800493,-14.28016662597656,-0.4949831928964997
UMC,8.09000015258789,8.095000267028809,70,69,-1,27.46772014525982,0.00357521533966082,5.54977416992142,0.1852920216634271
USAC,24.03000068664551,24.04999923706055,60,59,-1,29.4450142388342,0.02018173422132302,-11.16001892089844,-0.3742210205528916
UTZ,18.11000061035156,18.1200008392334,130,148,18,27.00380328185221,0.008789531162807895,8.249874114990234,0.2759339665828746
VAC,99.5199966430664,99.55000305175781,280,279,-1,25.32901238060762,0.1300626700265071,-10.35003662109375,-0.3465607334273538
VALE,12.35499954223633,12.36299991607666,65,64,-1,29.15188809105837,0.01229458979197881,25.91831779480026,0.8662985317673523
VRE,15.8100004196167,15.82999992370605,20,20,0,29.41240731907178,0.06859813451766938,0.9450216293334961,0.03158632005695779
VRE,15.57499980926514,15.59500026702881,250,250,0,24.91630718208347,0.005316011905670034,-7.67999267578125,-0.256492216531704
VRE,15.5,15.53499984741211,345,344,-1,27.95012683465237,0.002728242192949031,-7.719992637634277,-0.2574828596454136
VSCO,21.72500038146973,21.7450008392334,110,113,3,24.23335573371656,0.07435416970934139,-10.27510452270508,-0.3449103704063008
VTLE,48.12080001831055,48.18500137329102,70,69,-1,27.73271327632725,0.0352446106501999,-8.370132446289062,-0.2801746028491359
